#,Name,Start,End,Length,Color
R1,INTRO,0.1.00,7.1.00,7.0.00,00FFFF
R12,,7.1.00,7.3.00,0.2.00,
R2,CRESCENDO,7.3.00,9.1.00,1.2.00,0080FF
R3,VERSE,9.1.00,17.1.00,8.0.00,00FF00
R4,BRIDGE,17.1.00,25.1.00,8.0.00,FFFF00
R5,CHORUS,25.1.00,33.1.00,8.0.00,FF0000
R6,VERSE,33.1.00,49.1.00,16.0.00,00FF00
R7,BRIDGE,49.1.00,57.1.00,8.0.00,FFFF00
R8,CHORUS,57.1.00,69.1.00,12.0.00,FF0000
R9,SPECIAL,69.1.00,81.1.00,12.0.00,8000FF
R10,CHORUS,81.1.00,97.1.00,16.0.00,FF0000
R11,OUTRO,97.1.00,129.1.00,32.0.00,408080
